acc	year	title	journal	vol	doi	eprint	author	comment	url_slug
True	2020	Environmental dependence of X-ray and optical properties of galaxy clusters	MNRAS	in press	10.1093/mnras/staa3341	arXiv:2010.12671	M. Manolopoulou, B. Hoyle, R. G. Mann, M. Sahl{\'e}n, S. Nadathur	 	Manolopoulou_et_al
True	2020	The completed SDSS-IV extended Baryon Oscillation Spectroscopic Survey: Large-scale Structure Catalogues and Measurement of the isotropic BAO between redshift 0.6 and 1.1 for the Emission Line Galaxy Sample	MNRAS	in press	10.1093/mnras/staa3336	arXiv:2007.09007	Anand Raichoor, Arnaud de Mattia, Ashley J. Ross, et al.	 	Raichoor_et_al
True	2020	Dark Energy Survey Year 1 Results: the lensing imprint of cosmic voids on the Cosmic Microwave Background	MNRAS	in press	10.1093/mnras/staa3231	arXiv:1911.02951	P. Vielzeuf, A. Kov{\'a}cs, U. Demirbozan, et al.	 	Vielzeuf_et_al
False	2020	DES Y1 results: Splitting growth and geometry to test $\\Lambda$CDM	 	 	 	arXiv:2010.05924	J. Muir, E. Baxter, V. Miranda, et al.	 	Muir_et_al
True	2020	The completed SDSS-IV extended baryon oscillation spectroscopic survey: geometry and growth from the anisotropic void-galaxy correlation function in the luminous red galaxy sample	MNRAS	499, 4140	10.1093/mnras/staa3074	arXiv:2008.06060	Seshadri Nadathur, Alex Woodfinden, Will J. Percival et al.	 	Nadathur_et_al_eBOSS
True	2020	The Completed SDSS-IV extended Baryon Oscillation Spectroscopic Survey: measurement of the BAO and growth rate of structure of the luminous red galaxy sample from the anisotropic correlation function between redshifts 0.6 and 1	MNRAS	in press	10.1093/mnras/staa2800	arXiv:2007.08993	Julian E. Bautista, Romain Paviot, Mariana Vargas Maga{\~n}a, et al.	 	Bautista_et_al
True	2020	The Completed SDSS-IV extended Baryon Oscillation Spectroscopic Survey: measurement of the BAO and growth rate of structure of the luminous red galaxy sample from the anisotropic power spectrum between redshifts 0.6 and 1.0	MNRAS	498, 2492	10.1093/mnras/staa2455	arXiv:2007.08994	H{\'e}ctor Gil-Mar{\'\i}n, Juli{\'a}n E. Bautista, Romain Pviot, et al.	 	Gil-Marin_et_al
False	2020	The Completed SDSS-IV Extended Baryon Oscillation Spectroscopic Survey: Growth rate of structure measurement from cosmic voids	 	 	 	arXiv:2007.09013	Marie Aubert, Marie-Claude Cousinou, St{\'e}phanie Escoffier, et al.	 	Aubert_et_al
False	2020	The Completed SDSS-IV extended Baryon Oscillation Spectroscopic Survey: measurement of the BAO and growth rate of structure of the emission line galaxy sample from the anisotropic power spectrum between redshift 0.6 and 1.1	 	 	 	arXiv:2007.09008	Arnaud de Mattia, Vanina Ruhlmann-Kleider, Anand Raichoor, et al.	 	deMattia_et_al
False	2020	The Completed SDSS-IV extended Baryon Oscillation Spectroscopic Survey: Cosmological Implications from two Decades of Spectroscopic Surveys at the Apache Point observatory	 	 	 	arXiv:2007.08991	eBOSS Collaboration (S. Alam et al.)	 	eBOSS_cosmology
